IW,IF,VW,FP,Depth,Width
45,146,9.667851531287482,56,1.676087610569617,1.68
45,144,8.946431074132798,64,1.414998590759919,1.9834775076695281
47,140,9.6118413371127,79,0.906187143112801,1.8106166448808212
44,147,9.290337127261994,56,1.2843764627682868,1.7407207343737083
45,144,9.38960158457944,68,1.2386227331208663,1.8399009088178853
43,148,9.802952849986443,50,1.4089586740254527,1.68
49,138,9.541191907274202,89,1.2428204541328411,2.332299068350594
48,138,9.533428714634963,102,1.042573154131625,2.0364960650282704
46,136,10.81048922705767,109,0.8,1.796649641050683
43,150,12.0,50,1.041416047298684,1.68
47,133,7.939230260702567,116,0.909692598679613,2.3803016438987807
43,144,5.094493183026381,61,1.6603762767035928,2.378321582112071
45,141,10.83658171121496,81,1.1623861428729017,1.9804220205350642
44,141,8.407297545826603,79,1.2306531627951394,2.300022680899461
46,139,4.5,81,1.4840062067374793,2.6
44,144,5.876892611049664,67,1.1665879213386374,1.9244274625086706
46,140,8.624120496740156,83,1.0163925565512943,2.3386683880051944
43,148,9.720390169401373,53,1.2289235910180218,1.6809255010492354
48,139,9.167363943729733,85,0.8751511685070223,1.921957266468368
47,131,7.826358959147826,125,1.0723664527140548,2.485204797311007
45,143,9.493386740393799,70,1.286045905360932,1.9444073674917284
45,146,9.438121973706867,60,1.394375226455956,1.7725776659823969
47,133,9.263091908126276,117,0.9458849305124207,1.908168743401568
44,143,9.234918311721787,73,1.0665538979883378,1.9288802216922603
43,150,9.219913527453127,50,0.8741095151358391,1.68
43,150,9.469366030497717,50,1.3912253842072773,1.68
49,133,9.53203779274823,118,0.979989953500792,1.8750792139851253
46,137,8.164075103520306,87,1.6812772566738718,2.2407764993249653
43,149,10.205475073998638,50,1.2909709492832926,1.68
46,140,9.861539810869285,81,1.0589054448497424,1.8719656005791345
44,147,4.5,52,1.6624369441746842,2.351657076785136
46,146,10.010965751819267,65,0.9479460359757124,1.7622688630318293
47,133,9.352558638825139,111,1.1584563115902928,1.9999751962028576
44,148,9.605217106664917,56,1.0457880264027561,1.6865996786462352
47,135,10.506419723679445,96,0.858456396003941,1.8178352890530418
