IW,IF,VW,FP,Depth,Width
46,150,10.475552031797074,53,1.117667692675471,2.051185430769028
44,147,8.888297575914773,60,1.1019688399396006,2.1327728135751522
44,144,10.724539619158191,81,0.9639647340236079,1.995110623608213
44,142,9.690160389434848,75,1.2581074473771046,2.0061348931125074
43,150,10.851080425197155,119,1.0630750328114884,1.9507664840422092
43,150,10.469978034664488,74,1.0696925078922594,1.982694099203001
43,140,10.824728110658576,83,0.9632214080686138,1.913618371614798
46,150,10.169993450483076,71,0.8222659771377437,2.030179491949437
44,143,8.659153588335183,90,1.2588504885555973,2.070486171569021
43,147,7.938147442554655,77,1.1020018600001502,1.769240439986025
44,146,5.380456092190467,84,1.3249198974053131,2.58753448125975
47,147,9.923591251563067,50,1.2161521680870993,2.5178823676283
48,141,11.72781828568716,81,1.117234976690659,2.0210318280485975
49,147,10.538064745808777,74,1.288771636188845,1.9921580467283835
47,131,11.953346452840108,50,1.0292397692498945,2.591582800467624
47,142,9.627644189897778,80,1.2084140495422184,1.8909699966527003
43,150,11.840232716034695,52,0.9873429624078831,2.097432005409239
45,134,10.959472375822259,97,1.0463423156061433,1.954213750207126
48,148,11.691403167689177,111,1.1940955720356772,2.1079024643365574
47,150,10.08882070124511,77,1.2848644394034048,1.936026598176642
45,147,8.01249507450192,82,1.3486557188238963,2.2215701480278014
45,143,11.817001139116318,82,1.76,2.6
43,140,10.530695794836443,50,1.183393387991604,2.005263587269879
45,142,10.950018897231647,70,1.3095554217031868,2.0958984527722198
43,143,9.392565717635383,50,0.928043090164786,2.0400778071506576
46,138,10.822718154938286,70,1.2249363412610623,2.6
43,141,9.663055866418508,55,0.9146238800276624,1.8915487024911617
46,150,11.64015383717717,73,1.1981491311060988,2.0764466531647585
44,138,10.280152654193692,92,1.2028028979864136,1.812366023170874
48,141,4.99191836192206,70,1.6637885649728044,2.0722698431670112
44,139,8.200212996266494,74,1.1026054349504884,2.6
45,141,10.250365904751868,50,1.3087765821307509,1.9770808603607128
43,143,9.458998604320664,82,1.3647332343875531,1.68
43,148,12.0,77,1.2868295746899523,1.921634736403184
44,150,9.15997424798128,56,0.9431569929915083,1.8030935864219373
44,145,9.378212633743015,59,0.8,1.68
49,150,9.829085863311695,57,0.9453392830676761,1.8862369867670044
43,146,10.989691330409615,76,1.2157769513717107,1.6946726150189744
45,131,8.917180381869926,57,1.0478734042654116,2.587411029117219
49,150,8.730696427809686,78,1.2729067886006689,2.6
45,150,10.480895067011907,85,1.1170214477112292,2.017497595493774
44,140,9.703352552603521,84,1.1382041799645788,1.9071818169768124
45,144,10.390246091544093,103,1.1501988315733962,1.7558170021857986
44,142,8.849646309945038,62,1.1341456813033182,2.3380689523345697
43,150,11.222715761935149,79,1.2072550893057639,1.8922147087701162
47,143,10.448201572862557,56,0.949867035541115,2.459453888611598
47,143,10.474232852169948,76,1.0255378324514097,2.4112872639664698
44,144,10.330161045950632,77,0.926034647497775,1.7517552641221963
44,143,9.965815731380273,88,1.6768806724148586,1.7712748250417931
46,137,9.233845985327713,78,1.2371123217342823,1.68
46,147,7.593440330201405,115,1.0308639805181223,2.001001113113324
43,146,9.63425169116391,74,1.0338307661463064,2.4438442991596228
43,139,10.874694676111108,67,1.136469715463361,1.781295714160663
47,140,10.9504470665057,125,1.0825698618681,2.0020105686899186
47,150,10.88248739358861,50,1.1885739788679377,2.111967576877268
49,144,10.221512267140577,76,1.2735360762598569,1.9611487875860087
43,148,9.356084810346093,75,1.0401827828077121,2.0840007259130475
44,140,10.255853956166847,69,1.2835267859041257,1.6800124599558979
43,142,10.824078427075005,50,1.1006940956379687,2.2837386085572824
49,137,11.547599196577023,76,1.152742270785276,2.010878694530701
48,147,10.588010214660402,81,1.1967821140175872,2.023171201240306
45,147,10.107143649478626,77,0.9294123548090614,2.012472229064508
46,131,9.726619580983856,69,1.1749866879993456,1.9693586072969427
48,131,10.525951811363004,74,1.2730036962724445,1.7770415488047058
43,144,10.52531909678451,79,1.336014468745994,2.6
43,150,10.696397487343564,74,1.0541224814745713,1.901757424291357
49,140,11.147088300107665,125,1.2745553595715406,2.0085183270596403
46,150,10.602208502243617,74,1.046561580884612,1.847867721281318
43,140,9.89737285457807,83,0.8,2.0465986557738605
43,141,10.042916378021502,110,1.1662999967909853,1.744139527900439
43,150,10.860821734803615,75,1.1850224913277259,2.1142915045250574
43,140,7.777489763875605,79,1.3908998935924368,1.9610469531140775
43,144,9.855247253612069,86,1.134859028666259,2.372482191395179
43,150,10.880144019849642,87,1.019895287986731,1.977002613257294
43,144,9.838561722644137,76,1.0307278524391752,1.892581683155651
44,143,10.416674904192044,77,1.0734884059399141,1.9999780577145578
43,142,9.416558778656594,73,1.0758486190386323,2.5081636097957323
47,142,11.330191202837387,59,1.2831277664829663,2.6
46,148,8.024754859634871,74,1.0211938774353433,1.8948524288177375
45,143,11.326719619571675,57,1.4279657458392296,2.296687423878113
48,141,9.706090937263376,57,0.9939823955289026,1.8960350698067325
43,140,9.893884715066863,56,1.1891907512197197,2.1111955726733993
48,138,10.848723292805422,73,1.2355423383397905,2.6
49,143,11.279537713714465,70,1.362406790534639,2.1645318294417613
