IW,IF,VW,FP,Depth,Width
47,140,9.368181429200034,58,1.2724065750939273,1.824131543748673
47,139,5.402119170859142,80,1.7567031898159344,2.526441857437058
46,140,9.04821937858724,80,1.1336796932992674,1.9464630743886582
44,146,9.034917187160989,60,1.154500597691307,1.8737192721845801
46,139,4.5,81,1.6043413924297898,2.436431408823045
43,146,9.027367165808066,59,1.2616896074544937,1.8652027841647913
48,131,9.53509425755474,123,0.9458579772255076,2.217519049585137
46,140,9.37943345865281,80,1.190756077421638,1.798561976520697
47,140,5.076088945153596,79,1.1917876563589427,1.8377109465279253
46,147,9.644815936054227,60,1.2842408479794791,1.84644985699842
45,141,9.53221808692627,79,1.1129440505389971,1.8953293056329665
45,146,8.96837827488204,60,1.3206538611819616,1.7801576604940137
44,141,8.695858168575148,80,1.2070797210185298,1.9813779103481874
46,140,4.5,80,1.2671120083166558,2.5011292601354795
44,146,9.153423278450669,59,0.8913203461717514,1.786804800931168
48,141,10.219171606335882,80,1.2642012638405717,1.8678864926093062
44,140,9.216945576981072,80,1.1772594138308166,1.778237680446495
45,147,9.914143276008085,116,0.88647719001878,1.8646531130980855
47,146,9.208151794665772,60,0.9818105561974265,1.8312610262009859
44,147,9.862730007345622,59,1.2275298509136137,1.7707713320208132
45,146,8.487377129411165,60,1.2448310243514105,1.794448608951273
46,146,8.846319040499493,59,1.25640163560814,1.7965660772375882
46,141,10.135058605706421,81,1.0923038555886055,1.843344250243238
45,146,8.55421371593734,59,1.2463463744401926,1.7323234752519951
46,140,11.891855211374978,80,1.2969882619306676,1.7930917986562054
45,145,9.177175016797849,80,1.2417068325806733,1.832043247645368
44,140,9.56087855508276,80,1.1048623702781215,1.8341954759396555
45,139,4.5,81,1.6210254581344476,2.5384799660913018
44,141,9.792500046926186,80,0.9882303257064287,1.8235348858011284
46,141,10.15995051260528,113,0.9177624651238612,1.9157088030104135
45,140,9.442359531468627,80,1.1996295651539655,1.9096813551817302
44,146,9.251048486583839,59,1.3904019368600686,1.794211156835829
45,140,9.372618138212111,80,1.38613809153066,1.8535468527944643
45,140,4.838059614361664,80,1.296768456126331,2.3957187220407774
44,140,9.659032385840995,79,0.9886746574677779,1.8587024041018425
44,146,8.747321774956776,62,1.3285434052373817,2.3454964632359734
43,146,9.225064941104874,60,1.2136184954318192,1.754220134659666
44,146,9.058856984741931,61,1.1484065538684434,1.8116417131480678
47,147,10.19508708252803,60,1.2450186942649897,1.7407014994954868
48,134,9.399510913171612,117,0.8,1.8429019624947125
45,140,4.5,80,1.3279612122654965,2.484368725557317
48,132,8.785505327138091,125,1.032354361355243,2.2838320965364645
44,146,8.767418578455363,58,1.2925353343898014,1.8718624508900061
46,140,9.469148177765362,80,1.2631068772370093,1.7767253729985915
47,140,12.0,80,1.2424248779050426,1.7666458869233133
45,132,8.092133820131743,123,0.9825084958141819,1.8616489524884556
46,146,9.502132325007134,60,1.269704649180109,1.8207375749732513
48,141,10.643930168647456,80,1.0392815673734799,1.7806497280708302
46,141,9.990616580849164,80,1.028509621332902,1.7840381199393613
43,147,9.193795205667465,59,0.8,1.781589330354892
44,146,9.414162640332167,62,1.189594978309588,1.7277272520298272
46,140,4.959776903228946,79,1.3273269319630996,2.4685206859104714
47,132,9.352107638694932,121,1.0033992734650856,2.3766004247401886
46,141,8.899552596023131,80,1.0850534172926842,1.798521091716713
46,146,4.5,58,1.3386505903591508,2.5283801734377236
43,140,9.810059490865221,80,1.1380994021535302,1.8359905466237119
45,140,9.099462588115282,80,1.3832759969876713,2.4716267654274673
44,140,10.29542887582674,80,1.1490808964112318,1.8533072606511662
48,132,9.426248268961041,125,0.9028272353492941,1.8386933714355123
46,140,8.936476404449497,80,1.4820823755752526,1.8551080175240706
43,146,9.027718259065857,60,1.1369646963210427,1.809544664739581
45,140,9.131486794592265,81,1.5139211886228783,2.57462205980526
43,145,8.357602166393155,60,1.2980136087464536,1.845867450849314
46,146,9.42595045851004,61,1.3290511803267802,1.7515256630843268
45,140,9.180688161296988,80,1.1690260231281377,1.9193185056247046
43,146,8.468539687989443,61,1.2416725573987317,1.8134792127935235
48,133,9.842067502691936,118,0.9049678807905709,2.2502950643442214
47,145,9.145546649553248,59,1.3371056111124924,1.68
